movie_id,rating_count,avg_rating,rating_std,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,Film_Noir,Horror,Musical,Mystery,Romance,Sci_Fi,Thriller,War,Western,year,popularity_score
1,452,3.8783185840707963,0.9278967014291224,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.0,3.006861063464837
2,131,3.2061068702290076,0.9664969039857162,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995.0,0.7204116638078902
3,90,3.033333333333333,1.2127598760075846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995.0,0.46826758147512865
4,209,3.550239234449761,0.9650689693325767,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995.0,1.2727272727272727
5,86,3.302325581395349,0.946445578956407,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1995.0,0.48713550600343053
6,26,3.576923076923077,1.3014784492438412,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995.0,0.1595197255574614
7,392,3.798469387755102,0.9820369790473795,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1995.0,2.554030874785592
8,219,3.9954337899543377,1.0022805046720515,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995.0,1.5008576329331047
9,299,3.8963210702341136,1.0423675187854735,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995.0,1.9982847341337908
10,89,3.831460674157303,1.0139476750012544,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1996.0,0.5849056603773585
11,236,3.847457627118644,1.0689196665400291,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995.0,1.5574614065180103
12,267,4.385767790262173,0.8255003440679946,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995.0,2.008576329331046
13,184,3.4184782608695654,1.0316763744514708,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.0,1.0789022298456261
14,183,3.9672131147540983,0.9994594107182201,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1994.0,1.2452830188679245
15,293,3.7781569965870307,0.9802505354520151,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996.0,1.8987993138936534
16,39,3.2051282051282053,1.030571818266242,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995.0,0.2144082332761578
17,92,3.119565217391304,1.1752240030047094,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1996.0,0.4922813036020583
18,10,2.8,1.3165611772087666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995.0,0.048027444253859346
19,69,3.9565217391304346,1.06321906614239,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995.0,0.46826758147512865
20,72,3.4166666666666665,1.2304814127170929,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995.0,0.4219554030874786
